Name,Size,Shape,Type,API Level
Approach® S50,390 x 390,round,AMOLED,5.1
Approach® S60,240 x 240,round,Memory-In-Pixel (64 colors),2.4
Approach® S62,260 x 260,round,Memory-In-Pixel (64 colors),3.0
Approach® S70 42mm,390 x 390,round,AMOLED,5.1
Approach® S70 47mm,454 x 454,round,AMOLED,5.1
Captain Marvel,218 x 218,round,Memory-In-Pixel (64 colors),3.3
D2™ Air,390 x 390,round,AMOLED,3.2
D2™ Air X10,416 x 416,round,AMOLED,5.0
D2™ Bravo,218 x 218,round,Memory-In-Pixel (16 colors),1.4
D2™ Bravo Titanium,218 x 218,round,Memory-In-Pixel (16 colors),1.4
D2™ Charlie,240 x 240,round,Memory-In-Pixel (64 colors),3.0
D2™ Delta,240 x 240,round,Memory-In-Pixel (64 colors),3.1
D2™ Delta PX,240 x 240,round,Memory-In-Pixel (64 colors),3.1
D2™ Delta S,240 x 240,round,Memory-In-Pixel (64 colors),3.1
D2™ Mach 1,416 x 416,round,AMOLED,5.2
D2™ Mach 2,454 x 454,round,AMOLED,5.2
Darth Vader™,260 x 260,round,Memory-In-Pixel (64 colors),3.3
Descent™ G1 / G1 Solar,176 x 176,semi-octagon,Memory-In-Pixel (2 colors),3.4
Descent™ G2,390 x 390,round,AMOLED,5.1
Descent™ Mk1,240 x 240,round,Memory-In-Pixel (64 colors),3.1
Descent™ Mk2 / Descent™ Mk2i,280 x 280,round,Memory-In-Pixel (64 colors),3.4
Descent™ Mk2 S,240 x 240,round,Memory-In-Pixel (64 colors),3.4
Descent™ Mk3 43mm / Mk3i 43mm,390 x 390,round,AMOLED,5.1
Descent™ Mk3i 51mm,454 x 454,round,AMOLED,5.1
Enduro™,280 x 280,round,Memory-In-Pixel (64 colors),3.4
Enduro™ 3,280 x 280,round,Memory-In-Pixel (64 colors),5.2
epix™,205 x 148,rectangle,Memory-In-Pixel (64 colors),1.2
epix™ (Gen 2) / quatix® 7 Sapphire,416 x 416,round,AMOLED,5.2
epix™ Pro (Gen 2) 42mm,390 x 390,round,AMOLED,5.2
epix™ Pro (Gen 2) 47mm / quatix® 7 Pro,416 x 416,round,AMOLED,5.2
